BINARY is TEMP# ObjectProperty
BINARY is ATO_0000026 Class
BINARY is ATO_0000034 Class
BINARY is ATO_00001008 Class
BINARY SubClassOf ATO_00001008 ATO_0001007,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_00001017 Class
BINARY SubClassOf ATO_00001017 ATO_0001016,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000116 Class
BINARY is ATO_0000224 Class
BINARY SubClassOf ATO_0000224 ATO_0000116,
BINARY is has_rank_some_ATO_0000026 TEMP#
BINARY is ATO_0000225 Class
BINARY is ATO_0000226 Class
BINARY SubClassOf ATO_0000226 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000227 Class
BINARY SubClassOf ATO_0000227 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000228 Class
BINARY SubClassOf ATO_0000228 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000229 Class
BINARY SubClassOf ATO_0000229 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000230 Class
BINARY SubClassOf ATO_0000230 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000231 Class
BINARY SubClassOf ATO_0000231 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000232 Class
BINARY SubClassOf ATO_0000232 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000233 Class
BINARY SubClassOf ATO_0000233 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000234 Class
BINARY SubClassOf ATO_0000234 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000235 Class
BINARY SubClassOf ATO_0000235 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000236 Class
BINARY SubClassOf ATO_0000236 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000237 Class
BINARY SubClassOf ATO_0000237 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000238 Class
BINARY SubClassOf ATO_0000238 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000239 Class
BINARY SubClassOf ATO_0000239 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000240 Class
BINARY SubClassOf ATO_0000240 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000241 Class
BINARY SubClassOf ATO_0000241 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000242 Class
BINARY SubClassOf ATO_0000242 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000243 Class
BINARY SubClassOf ATO_0000243 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000244 Class
BINARY is ATO_0000245 Class
BINARY SubClassOf ATO_0000245 ATO_0000244,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000246 Class
BINARY SubClassOf ATO_0000246 ATO_0000244,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000390 Class
BINARY SubClassOf ATO_0000390 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000391 Class
BINARY SubClassOf ATO_0000391 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000392 Class
BINARY SubClassOf ATO_0000392 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
