BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY is string Datatype
BINARY is 10010 Class
BINARY SubClassOf 10010 pseudogene
BINARY is 10039 Class
BINARY SubClassOf 10039 pseudogene
BINARY is 10040 Class
BINARY SubClassOf 10040 pseudogene
BINARY is 10041 Class
BINARY SubClassOf 10041 pseudogene
BINARY is 10042 Class
BINARY SubClassOf 10042 pseudogene
BINARY is 10043 Class
BINARY SubClassOf 10043 pseudogene
BINARY is 10049 Class
BINARY SubClassOf 10049 pseudogene
BINARY is 1007 Class
BINARY SubClassOf 1007 pseudogene
BINARY is 10109 Class
BINARY SubClassOf 10109 pseudogene
BINARY is 10110 Class
BINARY SubClassOf 10110 pseudogene
BINARY is 10111 Class
BINARY SubClassOf 10111 pseudogene
BINARY is 10112 Class
BINARY SubClassOf 10112 pseudogene
BINARY is 10137 Class
BINARY SubClassOf 10137 pseudogene
BINARY is 10139 Class
BINARY SubClassOf 10139 pseudogene
BINARY is 10140 Class
BINARY SubClassOf 10140 pseudogene
BINARY is 10152 Class
BINARY SubClassOf 10152 pseudogene
BINARY is 10153 Class
BINARY SubClassOf 10153 pseudogene
BINARY is 10154 Class
BINARY SubClassOf 10154 pseudogene
BINARY is 10155 Class
BINARY SubClassOf 10155 pseudogene
BINARY is 1015 Class
BINARY SubClassOf 1015 pseudogene
BINARY is 1016 Class
BINARY SubClassOf 1016 pseudogene
BINARY is 10175 Class
BINARY SubClassOf 10175 pseudogene
BINARY is 10177 Class
BINARY SubClassOf 10177 pseudogene
BINARY is 10178 Class
BINARY SubClassOf 10178 pseudogene
BINARY is 1017 Class
BINARY SubClassOf 1017 pseudogene
BINARY is 1018 Class
BINARY SubClassOf 1018 pseudogene
BINARY is 10194 Class
BINARY SubClassOf 10194 pseudogene
BINARY is 10195 Class
BINARY SubClassOf 10195 pseudogene
BINARY is 10196 Class
BINARY SubClassOf 10196 pseudogene
BINARY is 10197 Class
BINARY SubClassOf 10197 pseudogene
BINARY is 10198 Class
BINARY SubClassOf 10198 pseudogene
BINARY is 10199 Class
BINARY SubClassOf 10199 pseudogene
BINARY is 10228 Class
BINARY SubClassOf 10228 pseudogene
BINARY is 10229 Class
BINARY SubClassOf 10229 pseudogene
BINARY is 10230 Class
BINARY SubClassOf 10230 pseudogene
BINARY is 10236 Class
BINARY SubClassOf 10236 pseudogene
BINARY is 10237 Class
BINARY SubClassOf 10237 pseudogene
BINARY is 10239 Class
BINARY SubClassOf 10239 pseudogene
BINARY is 1023 Class
BINARY SubClassOf 1023 pseudogene
BINARY is 10245 Class
BINARY SubClassOf 10245 pseudogene
BINARY is 10246 Class
BINARY SubClassOf 10246 pseudogene
BINARY is 10247 Class
BINARY SubClassOf 10247 pseudogene
BINARY is 1024 Class
BINARY SubClassOf 1024 pseudogene
BINARY is 10300 Class
BINARY SubClassOf 10300 pseudogene
BINARY is 10314 Class
BINARY SubClassOf 10314 pseudogene
BINARY is 10318 Class
BINARY SubClassOf 10318 pseudogene
BINARY is 10319 Class
