BINARY is integer Datatype
BINARY is OCCO_00000009 ObjectProperty
BINARY is OCCO_00000010 ObjectProperty
BINARY is OCCO_00000006 DataProperty
BINARY is BFO_0000003 Class
BINARY is BFO_0000006 Class
BINARY SubClassOf BFO_0000006 BFO_0000141
BINARY DisjointWith BFO_0000006 BFO_0000140
BINARY DisjointWith BFO_0000006 BFO_0000029
BINARY is BFO_0000008 Class
BINARY SubClassOf BFO_0000008 BFO_0000003
BINARY DisjointWith BFO_0000008 BFO_0000035
BINARY DisjointWith BFO_0000008 BFO_0000015
BINARY DisjointWith BFO_0000008 BFO_0000011
BINARY is BFO_0000009 Class
BINARY SubClassOf BFO_0000009 BFO_0000006
BINARY is BFO_0000011 Class
BINARY SubClassOf BFO_0000011 BFO_0000003
BINARY DisjointWith BFO_0000011 BFO_0000008
BINARY is BFO_0000015 Class
BINARY DisjointWith BFO_0000015 BFO_0000008
BINARY is BFO_0000016 Class
BINARY SubClassOf BFO_0000016 BFO_0000017
BINARY DisjointWith BFO_0000016 BFO_0000023
BINARY is BFO_0000017 Class
BINARY is BFO_0000018 Class
BINARY SubClassOf BFO_0000018 BFO_0000006
BINARY is BFO_0000023 Class
BINARY DisjointWith BFO_0000023 BFO_0000016
BINARY is BFO_0000024 Class
BINARY SubClassOf BFO_0000024 BFO_0000040
BINARY is BFO_0000026 Class
BINARY SubClassOf BFO_0000026 BFO_0000006
BINARY is BFO_0000028 Class
BINARY SubClassOf BFO_0000028 BFO_0000006
BINARY is BFO_0000029 Class
BINARY DisjointWith BFO_0000029 BFO_0000006
BINARY is BFO_0000034 Class
BINARY SubClassOf BFO_0000034 BFO_0000016
BINARY is BFO_0000035 Class
BINARY DisjointWith BFO_0000035 BFO_0000008
BINARY is BFO_0000038 Class
BINARY SubClassOf BFO_0000038 BFO_0000008
BINARY DisjointWith BFO_0000038 BFO_0000148
BINARY is BFO_0000040 Class
BINARY is BFO_0000140 Class
BINARY DisjointWith BFO_0000140 BFO_0000006
BINARY is BFO_0000141 Class
BINARY is BFO_0000144 Class
BINARY DisjointWith BFO_0000144 BFO_0000182
BINARY is BFO_0000148 Class
BINARY SubClassOf BFO_0000148 BFO_0000008
BINARY DisjointWith BFO_0000148 BFO_0000038
BINARY is BFO_0000182 Class
BINARY SubClassOf BFO_0000182 BFO_0000015
BINARY DisjointWith BFO_0000182 BFO_0000144
BINARY is IAO_0000102 Class
BINARY SubClassOf IAO_0000102 IAO_8000006
BINARY is IAO_0000120 Class
BINARY is IAO_0000122 Class
BINARY is IAO_0000123 Class
BINARY is IAO_0000124 Class
BINARY is IAO_0000225 Class
BINARY equiv IAO_0000225 {IAO_0000103_,_IAO_0000226_,_IAO_0000227_,_IAO_0000228_,_IAO_0000229_,_OMO_0001000}
BINARY SubClassOf IAO_0000225 IAO_0000102
BINARY DisjointWith IAO_0000225 OMO_0001000}
BINARY DisjointWith IAO_0000225 IAO_0000229
BINARY DisjointWith IAO_0000225 IAO_0000228
BINARY DisjointWith IAO_0000225 IAO_0000227
BINARY DisjointWith IAO_0000225 IAO_0000226
BINARY DisjointWith IAO_0000225 {IAO_0000103
BINARY is IAO_8000000 Class
BINARY SubClassOf IAO_8000000 IAO_0000102
BINARY is IAO_8000001 Class
BINARY SubClassOf IAO_8000001 IAO_8000000
BINARY is IAO_8000002 Class
BINARY SubClassOf IAO_8000002 IAO_8000000
BINARY is IAO_8000003 Class
BINARY SubClassOf IAO_8000003 IAO_8000000
BINARY is IAO_8000004 Class
BINARY SubClassOf IAO_8000004 IAO_8000000
BINARY is IAO_8000006 Class
BINARY SubClassOf IAO_8000006 IAO_8000000
BINARY is IAO_8000007 Class
BINARY SubClassOf IAO_8000007 IAO_8000006
BINARY is IAO_8000008 Class
BINARY SubClassOf IAO_8000008 IAO_8000006
BINARY is IAO_8000013 Class
BINARY SubClassOf IAO_8000013 IAO_8000000
BINARY is IAO_8000014 Class
BINARY SubClassOf IAO_8000014 IAO_8000000
BINARY is IAO_8000015 Class
BINARY SubClassOf IAO_8000015 IAO_8000014
BINARY is IAO_8000017 Class
BINARY is IAO_8000018 Class
BINARY SubClassOf IAO_8000018 IAO_8000017
BINARY is OCCO_00000001 Class
BINARY is OCCO_00000003 Class
BINARY SubClassOf OCCO_00000003 OCCO_00000011
BINARY is OCCO_00000004 Class
BINARY SubClassOf OCCO_00000004 OCCO_00000011
BINARY is OCCO_00000011 Class
BINARY SubClassOf OCCO_00000011 BFO_0000016
BINARY is OCCO_00000013 Class
BINARY SubClassOf OCCO_00000013 BFO_0000015
BINARY is OCCO_00000020 Class
BINARY SubClassOf OCCO_00000020 OCCO_00000003
BINARY is OCCO_00000021 Class
BINARY SubClassOf OCCO_00000021 OCCO_00000003
BINARY is OCCO_00000022 Class
BINARY SubClassOf OCCO_00000022 OCCO_00000003
BINARY is OCCO_00000023 Class
BINARY SubClassOf OCCO_00000023 OCCO_00000003
BINARY is OCCO_00000024 Class
BINARY SubClassOf OCCO_00000024 OCCO_00000003
BINARY is OCCO_00000025 Class
BINARY SubClassOf OCCO_00000025 OCCO_00000003
BINARY is OCCO_00000026 Class
BINARY SubClassOf OCCO_00000026 OCCO_00000003
BINARY is OCCO_00000027 Class
BINARY SubClassOf OCCO_00000027 OCCO_00000003
BINARY is OCCO_00000028 Class
BINARY SubClassOf OCCO_00000028 OCCO_00000003
BINARY is OCCO_00000029 Class
BINARY SubClassOf OCCO_00000029 OCCO_00000003
BINARY is OCCO_00000030 Class
BINARY SubClassOf OCCO_00000030 OCCO_00000003
BINARY is OCCO_00000031 Class
BINARY SubClassOf OCCO_00000031 OCCO_00000003
BINARY is OCCO_00000032 Class
BINARY SubClassOf OCCO_00000032 OCCO_00000003
BINARY is OCCO_00000033 Class
BINARY SubClassOf OCCO_00000033 OCCO_00000003
BINARY is OCCO_00000034 Class
BINARY SubClassOf OCCO_00000034 OCCO_00000003
BINARY is OCCO_00000035 Class
BINARY SubClassOf OCCO_00000035 OCCO_00000003
BINARY is OCCO_00000036 Class
BINARY SubClassOf OCCO_00000036 OCCO_00000003
BINARY is OCCO_00000037 Class
BINARY SubClassOf OCCO_00000037 OCCO_00000003
BINARY is OCCO_00000038 Class
BINARY SubClassOf OCCO_00000038 OCCO_00000003
BINARY is OCCO_00000039 Class
BINARY SubClassOf OCCO_00000039 OCCO_00000003
BINARY is OCCO_00000040 Class
