BINARY Range decorated boolean
BINARY SubPropertyOf decorated coated,
BINARY SubPropertyOf decorated treated
BINARY is degradable DataProperty
BINARY Domain degradable ManufacturedObject,
BINARY Domain degradable ManufacturedObjectComponent
BINARY Range degradable boolean
BINARY SubPropertyOf degradable absorbable,
BINARY SubPropertyOf degradable resorbable
BINARY is demineralized DataProperty
BINARY SubPropertyOf demineralized treated
BINARY is deproteinized DataProperty
BINARY SubPropertyOf deproteinized processed
BINARY is doped DataProperty
BINARY SubPropertyOf doped processed
BINARY is ecm_derived DataProperty
BINARY Domain ecm_derived ManufacturedObject,
BINARY Domain ecm_derived ManufacturedObjectComponent
BINARY Range ecm_derived boolean
BINARY SubPropertyOf ecm_derived processed
BINARY is elastomeric DataProperty
BINARY Domain elastomeric ManufacturedObject,
BINARY Domain elastomeric ManufacturedObjectComponent
BINARY Range elastomeric boolean
BINARY is electrospun DataProperty
BINARY Domain electrospun ManufacturedObject,
BINARY Domain electrospun ManufacturedObjectComponent
BINARY Range electrospun boolean
BINARY SubPropertyOf electrospun manufactured
BINARY is endodonic DataProperty
BINARY Domain endodonic ManufacturedObject,
BINARY Domain endodonic ManufacturedObjectComponent
BINARY Range endodonic boolean
BINARY SubPropertyOf endodonic bioactive
BINARY is etched DataProperty
BINARY Domain etched ManufacturedObject,
BINARY Domain etched ManufacturedObjectComponent
BINARY Range etched boolean
BINARY SubPropertyOf etched treated
BINARY is extruded DataProperty
BINARY Domain extruded ManufacturedObject,
BINARY Domain extruded ManufacturedObjectComponent
BINARY Range extruded boolean
BINARY is fibrous DataProperty
BINARY Domain fibrous ManufacturedObject,
BINARY Domain fibrous ManufacturedObjectComponent
BINARY Range fibrous boolean
BINARY is flexible DataProperty
BINARY Domain flexible ManufacturedObject,
BINARY Domain flexible ManufacturedObjectComponent
BINARY Range flexible boolean
BINARY is foamed DataProperty
BINARY SubPropertyOf foamed processed
BINARY is funcionalized DataProperty
BINARY Domain funcionalized ManufacturedObject,
BINARY Domain funcionalized ManufacturedObjectComponent
BINARY Range funcionalized boolean
BINARY SubPropertyOf funcionalized treated
BINARY is grooved DataProperty
BINARY Domain grooved ManufacturedObject,
BINARY Domain grooved ManufacturedObjectComponent
BINARY Range grooved boolean
BINARY is hydrated DataProperty
BINARY Domain hydrated ManufacturedObject,
BINARY Domain hydrated ManufacturedObjectComponent
BINARY Range hydrated boolean
BINARY is hydrophilic DataProperty
BINARY Domain hydrophilic Surface
BINARY Range hydrophilic boolean
BINARY is hydrophobic DataProperty
BINARY Domain hydrophobic Surface
BINARY Range hydrophobic boolean
BINARY is impermeable DataProperty
BINARY Domain impermeable PhysicalProperty
BINARY is impregnated DataProperty
BINARY Domain impregnated ManufacturedObject,
BINARY Domain impregnated ManufacturedObjectComponent
BINARY Range impregnated boolean
BINARY SubPropertyOf impregnated treated
BINARY is interconnected_porous DataProperty
BINARY Domain interconnected_porous ManufacturedObject,
BINARY Domain interconnected_porous ManufacturedObjectComponent
BINARY Range interconnected_porous boolean
BINARY SubPropertyOf interconnected_porous porous
BINARY is knitted DataProperty
BINARY Domain knitted ManufacturedObject,
BINARY Domain knitted ManufacturedObjectComponent
BINARY Range knitted boolean
BINARY SubPropertyOf knitted manufactured
BINARY is macroporous DataProperty
BINARY Domain macroporous ManufacturedObject,
BINARY Domain macroporous ManufacturedObjectComponent
BINARY Range macroporous boolean
BINARY SubPropertyOf macroporous porous
BINARY is manufactured DataProperty
BINARY Domain manufactured ManufacturedObject,
BINARY Domain manufactured ManufacturedObjectComponent
BINARY Range manufactured boolean
BINARY is mesoporous DataProperty
BINARY Domain mesoporous ManufacturedObject,
BINARY Domain mesoporous ManufacturedObjectComponent
BINARY Range mesoporous boolean
BINARY SubPropertyOf mesoporous porous
BINARY is metallic DataProperty
BINARY is microfibrous DataProperty
BINARY Domain microfibrous ManufacturedObject,
BINARY Domain microfibrous ManufacturedObjectComponent
BINARY Range microfibrous boolean
BINARY SubPropertyOf microfibrous fibrous
BINARY is microgrooved DataProperty
BINARY Domain microgrooved ManufacturedObject,
BINARY Domain microgrooved ManufacturedObjectComponent
BINARY Range microgrooved boolean
BINARY is microporous DataProperty
BINARY Domain microporous ManufacturedObject,
BINARY Domain microporous ManufacturedObjectComponent
BINARY Range microporous boolean
BINARY SubPropertyOf microporous porous
BINARY is microstructured DataProperty
BINARY Domain microstructured ManufacturedObject,
BINARY Domain microstructured ManufacturedObjectComponent
BINARY Range microstructured boolean
BINARY is microtextured DataProperty
BINARY Domain microtextured ManufacturedObject,
BINARY Domain microtextured ManufacturedObjectComponent
BINARY Range microtextured boolean
BINARY is milled DataProperty
BINARY Domain milled MaterialProcessing
BINARY Range milled boolean
BINARY is mineralised DataProperty
BINARY SubPropertyOf mineralised mineralized
BINARY is mineralized DataProperty
BINARY Domain mineralized ManufacturedObject,
BINARY Domain mineralized ManufacturedObjectComponent
BINARY Range mineralized boolean
BINARY is nanofibrous DataProperty
BINARY Domain nanofibrous ManufacturedObject,
BINARY Domain nanofibrous ManufacturedObjectComponent
BINARY Range nanofibrous boolean
BINARY SubPropertyOf nanofibrous fibrous
BINARY is nanoporous DataProperty
BINARY Domain nanoporous ManufacturedObject,
BINARY Domain nanoporous ManufacturedObjectComponent
BINARY Range nanoporous boolean
BINARY SubPropertyOf nanoporous porous
BINARY is nanoscale DataProperty
BINARY Domain nanoscale ManufacturedObject,
BINARY Domain nanoscale ManufacturedObjectComponent
BINARY Range nanoscale boolean
BINARY is nanostructured DataProperty
BINARY Domain nanostructured ManufacturedObject,
BINARY Domain nanostructured ManufacturedObjectComponent
BINARY Range nanostructured boolean
BINARY is nonwoven DataProperty
BINARY Domain nonwoven ManufacturedObject,
BINARY Domain nonwoven ManufacturedObjectComponent
BINARY Range nonwoven boolean
BINARY is not_treated DataProperty
BINARY Domain not_treated ManufacturedObject,
BINARY Domain not_treated ManufacturedObjectComponent
BINARY Range not_treated boolean
BINARY is osteoinductive DataProperty
BINARY Domain osteoinductive ManufacturedObject,
BINARY Domain osteoinductive ManufacturedObjectComponent
BINARY Range osteoinductive boolean
BINARY SubPropertyOf osteoinductive bioactive
BINARY is osteomimetic DataProperty
BINARY Domain osteomimetic ManufacturedObject,
BINARY Domain osteomimetic ManufacturedObjectComponent
BINARY Range osteomimetic boolean
BINARY SubPropertyOf osteomimetic bioactive
BINARY is pegylated DataProperty
BINARY Domain pegylated ManufacturedObject,
BINARY Domain pegylated ManufacturedObjectComponent
BINARY Range pegylated boolean
BINARY SubPropertyOf pegylated treated
BINARY is perforated DataProperty
BINARY Domain perforated ManufacturedObject,
BINARY Domain perforated ManufacturedObjectComponent
BINARY Range perforated boolean
BINARY SubPropertyOf perforated treated
BINARY is permanent DataProperty
BINARY Domain permanent DegradationFeatures
BINARY is photocrosslinked DataProperty
BINARY Domain photocrosslinked ManufacturedObject,
BINARY Domain photocrosslinked ManufacturedObjectComponent
BINARY Range photocrosslinked boolean
BINARY SubPropertyOf photocrosslinked treated
BINARY is plasma_treated DataProperty
BINARY Domain plasma_treated ManufacturedObject,
BINARY Domain plasma_treated ManufacturedObjectComponent
BINARY Range plasma_treated boolean
BINARY SubPropertyOf plasma_treated treated
BINARY is polished DataProperty
BINARY Domain polished ManufacturedObject,
BINARY Domain polished ManufacturedObjectComponent
BINARY Range polished boolean
BINARY SubPropertyOf polished treated
BINARY is polymeric DataProperty
BINARY is polymerized DataProperty
BINARY SubPropertyOf polymerized processed
BINARY is porous DataProperty
BINARY Domain porous ManufacturedObject,
