BINARY is PathologicalFormation Class
BINARY is PregnancyTest Class
BINARY SubClassOf PregnancyTest DiagnosticProcess
BINARY is PrenatalDiagnosticProcess Class
BINARY SubClassOf PrenatalDiagnosticProcess DiagnosticProcess
BINARY is ProphylacticCheckUp Class
BINARY SubClassOf ProphylacticCheckUp DiagnosticProcess
BINARY is PunchBiopsy Class
BINARY SubClassOf PunchBiopsy BiopsyWithoutIncision
BINARY DisjointWith PunchBiopsy TrucutBiopsy
BINARY DisjointWith PunchBiopsy SurfaceBiopsy
BINARY DisjointWith PunchBiopsy FineNeedleBiopsy
BINARY DisjointWith PunchBiopsy EndoscopicBiopsy
BINARY DisjointWith PunchBiopsy CoreNeedleBiopsy
BINARY DisjointWith PunchBiopsy ConeBiopsy
BINARY is ReferenceRoentgenologicalImaging Class
BINARY SubClassOf ReferenceRoentgenologicalImaging RoentgenologicalImaging
BINARY is RoentgenologicalImaging Class
BINARY is Scintigraphy Class
BINARY is Screening Class
BINARY SubClassOf Screening DiagnosticProcess
BINARY is SputumExam Class
BINARY SubClassOf SputumExam DiagnosticProcess
BINARY is SuctionAssistedCoreBiopsy Class
BINARY SubClassOf SuctionAssistedCoreBiopsy CoreNeedleBiopsy
BINARY is SurfaceBiopsy Class
BINARY SubClassOf SurfaceBiopsy BiopsyWithoutIncision
BINARY DisjointWith SurfaceBiopsy TrucutBiopsy
BINARY DisjointWith SurfaceBiopsy PunchBiopsy
BINARY DisjointWith SurfaceBiopsy FineNeedleBiopsy
BINARY DisjointWith SurfaceBiopsy EndoscopicBiopsy
BINARY DisjointWith SurfaceBiopsy CoreNeedleBiopsy
BINARY DisjointWith SurfaceBiopsy ConeBiopsy
BINARY is Surveillance Class
BINARY SubClassOf Surveillance DiagnosticProcess
BINARY is SyndromeProcess Class
BINARY is TherapeuticProcess Class
BINARY DisjointWith TherapeuticProcess DiagnosticProcess
BINARY is ThoracicVertebra Class
BINARY is TrucutBiopsy Class
BINARY SubClassOf TrucutBiopsy BiopsyWithoutIncision
BINARY DisjointWith TrucutBiopsy SurfaceBiopsy
BINARY DisjointWith TrucutBiopsy PunchBiopsy
BINARY DisjointWith TrucutBiopsy FineNeedleBiopsy
BINARY DisjointWith TrucutBiopsy EndoscopicBiopsy
BINARY DisjointWith TrucutBiopsy CoreNeedleBiopsy
BINARY DisjointWith TrucutBiopsy ConeBiopsy
BINARY is TumorClassAssessment Class
BINARY SubClassOf TumorClassAssessment DiagnosticProcess
BINARY is Ultrasound Class
BINARY is UrineExam Class
BINARY SubClassOf UrineExam DiagnosticProcess
BINARY is Quality Class
BINARY is Process Class
BINARY is ProcessualEntity Class
BINARY is www.w3.org/2002/07/# Class
