BINARY SubClassOf C0014582 C0013089,
BINARY SubClassOf C0014582 Causes_risk_factors
BINARY is C0014707 Class
BINARY SubClassOf C0014707 Causes_risk_factors
BINARY is C0014939 Class
BINARY SubClassOf C0014939 Causes_risk_factors
BINARY is C0015780 Class
BINARY SubClassOf C0015780 Causes_risk_factors
BINARY is C0015827 Class
BINARY SubClassOf C0015827 Causes_risk_factors
BINARY is C0015967 Class
BINARY SubClassOf C0015967 Causes_risk_factors
BINARY is C0016360 Class
BINARY SubClassOf C0016360 C0003392
BINARY is C0017205 Class
BINARY SubClassOf C0017205 Causes_risk_factors
BINARY is C0017710 Class
BINARY SubClassOf C0017710 C0003209
BINARY is C0017919 Class
BINARY SubClassOf C0017919 C0027868,
BINARY SubClassOf C0017919 C0267971
BINARY is C0018790 Class
BINARY SubClassOf C0018790 C0264886
BINARY is C0018817 Class
BINARY SubClassOf C0018817 Causes_risk_factors
BINARY is C0018818 Class
BINARY SubClassOf C0018818 Causes_risk_factors
BINARY is C0018824 Class
BINARY SubClassOf C0018824 Causes_risk_factors
BINARY is C0018995 Class
BINARY SubClassOf C0018995 C0282193
BINARY is C0019693 Class
BINARY SubClassOf C0019693 C0036916,
BINARY SubClassOf C0019693 C0042769
BINARY is C0019699 Class
BINARY SubClassOf C0019699 C0019693,
BINARY SubClassOf C0019699 Causes_risk_factors
BINARY is C0020456 Class
BINARY SubClassOf C0020456 C0011849
BINARY is C0020461 Class
BINARY SubClassOf C0020461 Causes_risk_factors
BINARY is C0020473 Class
BINARY SubClassOf C0020473 C0154251,
BINARY SubClassOf C0020473 C0242339
BINARY is C0020538 Class
BINARY SubClassOf C0020538 Causes_risk_factors
BINARY is C0020542 Class
BINARY SubClassOf C0020542 C0034072,
BINARY SubClassOf C0020542 C0854416
BINARY is C0020546 Class
BINARY SubClassOf C0020546 Causes_risk_factors
BINARY is C0020550 Class
BINARY SubClassOf C0020550 C0040128,
BINARY SubClassOf C0020550 C0348024
BINARY is C0020557 Class
BINARY SubClassOf C0020557 C0020473,
BINARY SubClassOf C0020557 C0154251
BINARY is C0020564 Class
BINARY SubClassOf C0020564 Causes_risk_factors
BINARY is C0020598 Class
BINARY SubClassOf C0020598 Causes_risk_factors
BINARY is C0020676 Class
BINARY SubClassOf C0020676 C0040128,
BINARY SubClassOf C0020676 C0348024
BINARY is C0020789 Class
BINARY SubClassOf C0020789 C0011015,
BINARY SubClassOf C0020789 Causes_risk_factors
BINARY is C0021400 Class
BINARY SubClassOf C0021400 C0035243,
BINARY SubClassOf C0021400 C0042769
BINARY is C0021655 Class
BINARY SubClassOf C0021655 Causes_risk_factors
BINARY is C0021747 Class
BINARY SubClassOf C0021747 C0003392
BINARY is C0022209 Class
BINARY SubClassOf C0022209 Causes_risk_factors
BINARY is C0022660 Class
BINARY SubClassOf C0022660 C0151746
BINARY is C0022661 Class
BINARY SubClassOf C0022661 C1561643
BINARY is C0023212 Class
BINARY SubClassOf C0023212 Causes_risk_factors
BINARY is C0024117 Class
BINARY SubClassOf C0024117 Causes_risk_factors
BINARY is C0024141 Class
BINARY SubClassOf C0024141 C0009326,
BINARY SubClassOf C0024141 C0009782,
BINARY SubClassOf C0024141 C0262428,
BINARY SubClassOf C0024141 C0409974
BINARY is C0025066 Class
BINARY SubClassOf C0025066 Causes_risk_factors
BINARY is C0025598 Class
BINARY SubClassOf C0025598 Causes_risk_factors
BINARY is C0025611 Class
BINARY SubClassOf C0025611 Causes_risk_factors
BINARY is C0025741 Class
BINARY SubClassOf C0025741 Causes_risk_factors
BINARY is C0025810 Class
BINARY SubClassOf C0025810 Causes_risk_factors
BINARY is C0026259 Class
BINARY SubClassOf C0026259 C0003392
BINARY is C0026265 Class
BINARY SubClassOf C0026265 C0018824
BINARY is C0026266 Class
BINARY SubClassOf C0026266 C0018824,
BINARY SubClassOf C0026266 C0026265
BINARY is C0026269 Class
BINARY SubClassOf C0026269 C0018824,
BINARY SubClassOf C0026269 C0026265
BINARY is C0026272 Class
BINARY SubClassOf C0026272 C0009326,
BINARY SubClassOf C0026272 C0009782
BINARY is C0026848 Class
BINARY SubClassOf C0026848 C0027868
BINARY is C0026850 Class
BINARY SubClassOf C0026850 C0026848,
BINARY SubClassOf C0026850 C0027868
BINARY is C0026896 Class
BINARY SubClassOf C0026896 C0026848,
BINARY SubClassOf C0026896 C0027868
BINARY is C0027051 Class
BINARY SubClassOf C0027051 C0878544
BINARY is C0027059 Class
BINARY SubClassOf C0027059 C0878544
BINARY is C0027868 Class
BINARY SubClassOf C0027868 Causes_risk_factors
BINARY is C0028420 Class
BINARY SubClassOf C0028420 C0003290
BINARY is C0028754 Class
BINARY SubClassOf C0028754 C0020564
BINARY is C0029401 Class
BINARY SubClassOf C0029401 Causes_risk_factors
BINARY is C0030590 Class
BINARY SubClassOf C0030590 Causes_risk_factors
BINARY is C0030842 Class
BINARY SubClassOf C0030842 Causes_risk_factors
BINARY is C0031007 Class
BINARY SubClassOf C0031007 Causes_risk_factors
BINARY is C0031048 Class
BINARY SubClassOf C0031048 Causes_risk_factors
BINARY is C0031447 Class
BINARY SubClassOf C0031447 Causes_risk_factors
BINARY is C0031511 Class
BINARY SubClassOf C0031511 Causes_risk_factors
BINARY is C0032285 Class
BINARY SubClassOf C0032285 C0009450,
BINARY SubClassOf C0032285 C0035243
BINARY is C0032300 Class
BINARY SubClassOf C0032300 C0032285,
BINARY SubClassOf C0032300 Causes_risk_factors
BINARY is C0032805 Class
BINARY SubClassOf C0032805 Causes_risk_factors
BINARY is C0032961 Class
BINARY SubClassOf C0032961 Causes_risk_factors
BINARY is C0033141 Class
BINARY SubClassOf C0033141 C0878544
BINARY is C0033798 Class
BINARY SubClassOf C0033798 Causes_risk_factors
BINARY is C0034063 Class
BINARY SubClassOf C0034063 C0023212
BINARY is C0034065 Class
BINARY SubClassOf C0034065 Causes_risk_factors
BINARY is C0034072 Class
BINARY SubClassOf C0034072 Causes_risk_factors
BINARY is C0035067 Class
BINARY SubClassOf C0035067 C0268790
BINARY is C0035243 Class
BINARY SubClassOf C0035243 Causes_risk_factors
BINARY is C0035309 Class
BINARY SubClassOf C0035309 Causes_risk_factors
BINARY is C0035435 Class
BINARY SubClassOf C0035435 C0009782
BINARY is C0035436 Class
BINARY SubClassOf C0035436 C0009782,
BINARY SubClassOf C0035436 C0035435
BINARY is C0035439 Class
BINARY SubClassOf C0035439 C0035435,
BINARY SubClassOf C0035439 C0035436,
BINARY SubClassOf C0035439 C0878544
BINARY is C0035440 Class
BINARY SubClassOf C0035440 C0035436,
BINARY SubClassOf C0035440 C0035439,
BINARY SubClassOf C0035440 C0878544
BINARY is C0036202 Class
BINARY SubClassOf C0036202 Causes_risk_factors
BINARY is C0036421 Class
BINARY SubClassOf C0036421 C0009782
BINARY is C0036916 Class
BINARY SubClassOf C0036916 C0009450,
BINARY SubClassOf C0036916 C0042769
BINARY is C0037315 Class
BINARY SubClassOf C0037315 C0037317,
BINARY SubClassOf C0037315 C0851578
BINARY is C0037317 Class
BINARY is C0038317 Class
BINARY SubClassOf C0038317 Causes_risk_factors
BINARY is C0038425 Class
BINARY SubClassOf C0038425 Causes_risk_factors
BINARY is C0038454 Class
BINARY SubClassOf C0038454 Causes_risk_factors
BINARY is C0038760 Class
BINARY SubClassOf C0038760 Causes_risk_factors
BINARY is C0039232 Class
BINARY SubClassOf C0039232 Causes_risk_factors
BINARY is C0039620 Class
BINARY SubClassOf C0039620 Causes_risk_factors
BINARY is C0039685 Class
BINARY SubClassOf C0039685 C0018818
BINARY is C0039841 Class
BINARY SubClassOf C0039841 Causes_risk_factors
BINARY is C0040038 Class
BINARY SubClassOf C0040038 Causes_risk_factors
BINARY is C0040128 Class
BINARY SubClassOf C0040128 Causes_risk_factors
BINARY is C0040156 Class
BINARY SubClassOf C0040156 C0020550,
BINARY SubClassOf C0040156 C0040128
BINARY is C0040329 Class
BINARY SubClassOf C0040329 Causes_risk_factors
BINARY is C0040537 Class
BINARY SubClassOf C0040537 Causes_risk_factors
BINARY is C0040961 Class
BINARY SubClassOf C0040961 C0018824
BINARY is C0041227 Class
BINARY SubClassOf C0041227 Causes_risk_factors
BINARY is C0041234 Class
BINARY SubClassOf C0041234 C0041227
BINARY is C0042514 Class
BINARY SubClassOf C0042514 Causes_risk_factors
BINARY is C0042769 Class
BINARY SubClassOf C0042769 C0009450
BINARY is C0043202 Class
BINARY SubClassOf C0043202 C0264886
BINARY is C0051809 Class
BINARY SubClassOf C0051809 Causes_risk_factors
BINARY is C0055729 Class
BINARY SubClassOf C0055729 Causes_risk_factors
BINARY is C0064113 Class
BINARY SubClassOf C0064113 Causes_risk_factors
BINARY is C0080203 Class
BINARY SubClassOf C0080203 C0264886
BINARY is C0085096 Class
BINARY SubClassOf C0085096 Causes_risk_factors
BINARY is C0085128 Class
BINARY SubClassOf C0085128 Causes_risk_factors
BINARY is C0085602 Class
BINARY SubClassOf C0085602 Causes_risk_factors
BINARY is C0085612 Class
BINARY SubClassOf C0085612 C0264886
BINARY is C0085752 Class
BINARY SubClassOf C0085752 C0013089,
BINARY SubClassOf C0085752 Causes_risk_factors
BINARY is C0085756 Class
BINARY SubClassOf C0085756 C0005680
BINARY is C0085762 Class
BINARY SubClassOf C0085762 C0740858
BINARY is C0086209 Class
BINARY SubClassOf C0086209 Causes_risk_factors
BINARY is C0086555 Class
BINARY SubClassOf C0086555 Causes_risk_factors
BINARY is C0086565 Class
BINARY SubClassOf C0086565 Causes_risk_factors
BINARY is C0149721 Class
BINARY SubClassOf C0149721 Causes_risk_factors
BINARY is C0149871 Class
BINARY SubClassOf C0149871 Causes_risk_factors
BINARY is C0151744 Class
BINARY SubClassOf C0151744 C0878544
BINARY is C0151746 Class
BINARY SubClassOf C0151746 Causes_risk_factors
BINARY is C0152021 Class
BINARY SubClassOf C0152021 Causes_risk_factors
BINARY is C0152107 Class
BINARY SubClassOf C0152107 C0027059,
BINARY SubClassOf C0152107 Causes_risk_factors
BINARY is C0152424 Class
BINARY SubClassOf C0152424 C0018818
BINARY is C0154251 Class
BINARY SubClassOf C0154251 Causes_risk_factors
BINARY is C0155626 Class
BINARY SubClassOf C0155626 Causes_risk_factors
BINARY is www.w3.org/2000/01/-schema# Annotations
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0155686 Class
BINARY SubClassOf C0155686 C0027059,
BINARY SubClassOf C0155686 Causes_risk_factors
BINARY is C0155713 Class
BINARY SubClassOf C0155713 C0018824
