BINARY is float Datatype
BINARY SubClassOf IAO_0000104 IAO_0000033,
BINARY SubClassOf IAO_0000104 BFO_0000051_some_IAO_0000005,
BINARY SubClassOf IAO_0000104 BFO_0000051_some_IAO_0000007
BINARY is IAO_0000109 Class
BINARY SubClassOf IAO_0000109 IAO_0000027
BINARY is IAO_0000129 Class
BINARY SubClassOf IAO_0000129 IAO_0000028
BINARY is IAO_0000131 Class
BINARY SubClassOf IAO_0000131 IAO_0000028
BINARY is IAO_0000132 Class
BINARY SubClassOf IAO_0000132 IAO_0000028
BINARY is IAO_0000140 Class
BINARY SubClassOf IAO_0000140 IAO_0000027
BINARY is IAO_0000144 Class
BINARY SubClassOf IAO_0000144 IAO_0000300
BINARY is IAO_0000185 Class
BINARY SubClassOf IAO_0000185 IAO_0000101
BINARY is IAO_0000225 Class
BINARY SubClassOf IAO_0000225 IAO_0000102
BINARY is IAO_0000300 Class
BINARY SubClassOf IAO_0000300 IAO_0000030
BINARY is IAO_0000301 Class
BINARY SubClassOf IAO_0000301 IAO_0000300,
BINARY SubClassOf IAO_0000301 IAO_0000136_some_IAO_0000310
BINARY is IAO_0000302 Class
BINARY SubClassOf IAO_0000302 IAO_0000590
BINARY is IAO_0000303 Class
BINARY SubClassOf IAO_0000303 IAO_0000300
BINARY is IAO_0000304 Class
BINARY SubClassOf IAO_0000304 IAO_0000300,
BINARY SubClassOf IAO_0000304 IAO_0000136_some_IAO_0000308
BINARY is IAO_0000305 Class
BINARY SubClassOf IAO_0000305 IAO_0000300
BINARY is IAO_0000306 Class
BINARY SubClassOf IAO_0000306 IAO_0000300
BINARY is IAO_0000307 Class
BINARY SubClassOf IAO_0000307 IAO_0000306
BINARY is IAO_0000308 Class
BINARY SubClassOf IAO_0000308 IAO_0000030
BINARY is IAO_0000309 Class
BINARY SubClassOf IAO_0000309 IAO_0000308
BINARY is IAO_0000310 Class
BINARY SubClassOf IAO_0000310 IAO_0000030
BINARY is IAO_0000311 Class
BINARY equiv IAO_0000311 IAO_0000310_and_(OBI_0000312_only_IAO_0000444)
BINARY SubClassOf IAO_0000311 IAO_0000310
BINARY is IAO_0000312 Class
BINARY SubClassOf IAO_0000312 IAO_0000311
BINARY is IAO_0000313 Class
BINARY SubClassOf IAO_0000313 IAO_0000310
BINARY is IAO_0000314 Class
BINARY SubClassOf IAO_0000314 IAO_0000030,
