BINARY is string Datatype
BINARY is purl.org/autism-ontology/1.0/autism-rules.# ObjectProperty
BINARY Characteristics purl.org/autism-ontology/1.0/autism-rules.# Functional
BINARY is Vocabulary_term purl.org/autism-ontology/1.0/autism-rules.#
BINARY is Concept purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# ObjectProperty
BINARY Characteristics purl.org/autism-ontology/1.0/autism-rules.# Functional
BINARY is Risk_factor purl.org/autism-ontology/1.0/autism-rules.#
BINARY Range Risk_factor Process
BINARY is purl.org/autism-ontology/1.0/autism-rules.# ObjectProperty
BINARY is Vocabulary_term purl.org/autism-ontology/1.0/autism-rules.#
BINARY is Concept purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# DataProperty
BINARY is Risk_factor purl.org/autism-ontology/1.0/autism-rules.#
BINARY Range Risk_factor string
BINARY is purl.org/autism-ontology/1.0/autism-rules.# DataProperty
BINARY Characteristics purl.org/autism-ontology/1.0/autism-rules.# Functional
BINARY is Risk_factor purl.org/autism-ontology/1.0/autism-rules.#
BINARY Range Risk_factor string
BINARY is purl.org/autism-ontology/1.0/autism-rules.# DataProperty
BINARY Characteristics purl.org/autism-ontology/1.0/autism-rules.# Functional
BINARY is Risk_factor purl.org/autism-ontology/1.0/autism-rules.#
BINARY Range Risk_factor {"At_conception"_,_"Delivery"_,_"Delivery,_Summer"_,_"Neonatal"_,_"Postnatal"_,_"Pre/Perinatal"_,_"Pregnancy"_,_"Pregnancy,_1st_trimester"_,_"Pregnancy,_2nd_trimester"}
BINARY is purl.org/autism-ontology/1.0/autism-rules.# DataProperty
BINARY is Risk_factor purl.org/autism-ontology/1.0/autism-rules.#
BINARY Range Risk_factor string
BINARY is purl.org/autism-ontology/1.0/autism-rules.# DataProperty
BINARY Characteristics purl.org/autism-ontology/1.0/autism-rules.# Functional
BINARY is Risk_factor purl.org/autism-ontology/1.0/autism-rules.#
BINARY Range Risk_factor {"1,2__Degree_Ancestor"_,_"Father"_,_"Mother"_,_"Self"}
BINARY is birnlex_11001 Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Reciprocal_Social_Interaction purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Attention_to_voice purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Attention_to_voice purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Direct_Gaze purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Social_Verbalization_Chat purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Quality_of_Social_Overtures purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Direct_Gaze purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Attention_to_voice purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Reciprocal_Social_Interaction purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Range_of_Facial_Expressions_Used_To_Communicate purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Seeking_To_Share_herHis_Enjoyment_With_Others purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Seeking_To_Share_herHis_Enjoyment_With_Others purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Friendships purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Friendships purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Range_of_Facial_Expressions_Used_To_Communicate purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Unusual_sensory_interests purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Offering_Comfort purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Unusual_sensory_interests purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Reciprocal_Social_Interaction purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Imitative_social_play purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Imitative_social_play purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Eye_Contact purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Friendships purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Reciprocal_Social_Interaction purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Pointing_to_Express_Interest purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Range_of_Facial_Expressions_Used_To_Communicate purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Pointing_to_Express_Interest purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Imitative_social_play purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Range_of_Facial_Expressions_Used_To_Communicate purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Quality_of_Social_Overtures purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Quality_of_Social_Overtures purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Friendships purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Imitative_social_play purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Direct_Gaze purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Imitative_social_play purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Pointing_to_Express_Interest purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Friendships purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Friendships purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is Showing_And_Directing_Attention purl.org/autism-ontology/1.0/autism-rules.#
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
BINARY is purl.org/autism-ontology/1.0/autism-rules.# Class
