BINARY is nonNegativeInteger Datatype
BINARY is RO_0002576 ObjectProperty
BINARY is RO_0002584 ObjectProperty
BINARY SubPropertyOf RO_0002584 RO_0002595
BINARY is RO_0002595 ObjectProperty
BINARY Domain RO_0002595 BFO_0000040
BINARY Range RO_0002595 BFO_0000015
BINARY is RO_0003000 ObjectProperty
BINARY Domain RO_0003000 BFO_0000040
BINARY Range RO_0003000 BFO_0000040
BINARY InverseOf RO_0003000 RO_0003001
BINARY is RO_0003001 ObjectProperty
BINARY Domain RO_0003001 BFO_0000040
BINARY Range RO_0003001 BFO_0000040
BINARY InverseOf RO_0003001 RO_0003000
BINARY is RO_0011002 ObjectProperty
BINARY Domain RO_0011002 BFO_0000040
BINARY Range RO_0011002 BFO_0000040
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is uberon/core# ObjectProperty
BINARY is COB_0000801 DataProperty
BINARY Domain COB_0000801 BFO_0000040
BINARY Range COB_0000801 nonNegativeInteger
BINARY is BFO_0000002 Class
BINARY is BFO_0000003 Class
BINARY is BFO_0000004 Class
BINARY SubClassOf BFO_0000004 BFO_0000002,
BINARY SubClassOf BFO_0000004 BFO_0000050_only_BFO_0000004
BINARY DisjointWith BFO_0000004 BFO_0000020
BINARY is BFO_0000006 Class
BINARY is BFO_0000015 Class
BINARY is BFO_0000016 Class
BINARY is BFO_0000020 Class
BINARY DisjointWith BFO_0000020 BFO_0000004
BINARY is BFO_0000023 Class
BINARY is BFO_0000034 Class
BINARY is BFO_0000040 Class
BINARY SubClassOf BFO_0000040 BFO_0000004
BINARY DisjointWith BFO_0000040 BFO_0000050_some_BFO_0000141
BINARY DisjointWith BFO_0000040 BFO_0000141
BINARY is BFO_0000141 Class
BINARY SubClassOf BFO_0000141 BFO_0000004
BINARY DisjointWith BFO_0000141 BFO_0000040
BINARY is CHEBI_142163 Class
BINARY SubClassOf CHEBI_142163 BFO_0000004
BINARY is CHEBI_15377 Class
BINARY SubClassOf CHEBI_15377 BFO_0000004
BINARY is CHEBI_16134 Class
BINARY SubClassOf CHEBI_16134 BFO_0000004
BINARY is CHEBI_16189 Class
BINARY SubClassOf CHEBI_16189 BFO_0000004
BINARY is CHEBI_16234 Class
BINARY SubClassOf CHEBI_16234 BFO_0000004
BINARY is CHEBI_16236 Class
BINARY SubClassOf CHEBI_16236 BFO_0000004
BINARY is CHEBI_16336 Class
BINARY SubClassOf CHEBI_16336 BFO_0000004
BINARY is CHEBI_17089 Class
BINARY is CHEBI_17790 Class
BINARY SubClassOf CHEBI_17790 BFO_0000004
BINARY is CHEBI_18723 Class
BINARY SubClassOf CHEBI_18723 BFO_0000004
BINARY is CHEBI_22315 Class
BINARY SubClassOf CHEBI_22315 BFO_0000004
BINARY is CHEBI_24833 Class
BINARY SubClassOf CHEBI_24833 BFO_0000004
BINARY is CHEBI_28938 Class
BINARY SubClassOf CHEBI_28938 BFO_0000004
BINARY is CHEBI_32111 Class
BINARY SubClassOf CHEBI_32111 BFO_0000004
BINARY is CHEBI_35722 Class
