BINARY is www.w3.org/2000/01/-schema# AnnotationProperty
BINARY SubClassOf N0000007050 N0000007587,
BINARY SubClassOf N0000007050 N0000008113
BINARY is N0000007054 Class
BINARY SubClassOf N0000007054 N0000007809
BINARY is N0000007062 Class
BINARY SubClassOf N0000007062 N0000007794,
BINARY SubClassOf N0000007062 N0000007845,
BINARY SubClassOf N0000007062 N0000007847
BINARY is N0000007096 Class
BINARY SubClassOf N0000007096 N0000007604,
BINARY SubClassOf N0000007096 N0000008111
BINARY is N0000007101 Class
BINARY SubClassOf N0000007101 N0000007691
BINARY is N0000007106 Class
BINARY SubClassOf N0000007106 N0000007809
BINARY is N0000007118 Class
BINARY SubClassOf N0000007118 N0000007731
BINARY is N0000007133 Class
BINARY SubClassOf N0000007133 N0000007529
BINARY is N0000007164 Class
BINARY SubClassOf N0000007164 N0000007685
BINARY is N0000007182 Class
BINARY SubClassOf N0000007182 N0000007962
BINARY is N0000007186 Class
BINARY SubClassOf N0000007186 N0000007990
BINARY is N0000007188 Class
BINARY SubClassOf N0000007188 N0000007853
BINARY is N0000007195 Class
BINARY SubClassOf N0000007195 N0000007962
BINARY is N0000007202 Class
BINARY SubClassOf N0000007202 N0000007813
BINARY is N0000007216 Class
BINARY SubClassOf N0000007216 N0000007707
BINARY is N0000007266 Class
BINARY SubClassOf N0000007266 N0000007561
BINARY is N0000007273 Class
BINARY SubClassOf N0000007273 N0000008048
BINARY is N0000007276 Class
BINARY SubClassOf N0000007276 N0000006620,
BINARY SubClassOf N0000007276 N0000007515,
BINARY SubClassOf N0000007276 N0000008020
BINARY is N0000007293 Class
BINARY SubClassOf N0000007293 N0000006999
BINARY is N0000007297 Class
BINARY SubClassOf N0000007297 N0000007815
BINARY is N0000007302 Class
BINARY SubClassOf N0000007302 N0000007529
BINARY is N0000007309 Class
BINARY SubClassOf N0000007309 N0000008065
BINARY is N0000007310 Class
BINARY SubClassOf N0000007310 N0000007898,
BINARY SubClassOf N0000007310 N0000008062
BINARY is N0000007319 Class
BINARY SubClassOf N0000007319 N0000007927
BINARY is N0000007339 Class
BINARY SubClassOf N0000007339 N0000008041
BINARY is N0000007347 Class
BINARY SubClassOf N0000007347 N0000007570
BINARY is N0000007355 Class
BINARY SubClassOf N0000007355 N0000007894,
BINARY SubClassOf N0000007355 N0000008061
BINARY is N0000007358 Class
BINARY SubClassOf N0000007358 N0000007927,
BINARY SubClassOf N0000007358 N0000008052
BINARY is N0000007366 Class
BINARY SubClassOf N0000007366 N0000008048
BINARY is N0000007376 Class
BINARY SubClassOf N0000007376 N0000007731,
BINARY SubClassOf N0000007376 N0000007960
BINARY is N0000007383 Class
BINARY SubClassOf N0000007383 N0000007536
BINARY is N0000007398 Class
BINARY SubClassOf N0000007398 N0000007929
BINARY is N0000007423 Class
BINARY SubClassOf N0000007423 N0000008087
BINARY is N0000007428 Class
BINARY SubClassOf N0000007428 N0000008080
BINARY is N0000007430 Class
BINARY SubClassOf N0000007430 N0000007716,
BINARY SubClassOf N0000007430 N0000007798,
BINARY SubClassOf N0000007430 N0000175092
BINARY is N0000007432 Class
BINARY SubClassOf N0000007432 N0000007439
BINARY is N0000007439 Class
BINARY SubClassOf N0000007439 N0000007676
BINARY is N0000007441 Class
BINARY SubClassOf N0000007441 N0000006620,
