BINARY is float Datatype
BINARY is ONSTR_1563655 ObjectProperty
BINARY is ONSTR_3011743 ObjectProperty
BINARY is ONSTR_4444444 ObjectProperty
BINARY is BFO_0000087 ObjectProperty
BINARY is IAO_0000039 ObjectProperty
BINARY is IAO_0000136 ObjectProperty
BINARY is OBI_0000999 ObjectProperty
BINARY is IAO_0000004 DataProperty
BINARY is ONSTR_0072436 Class
BINARY SubClassOf ONSTR_0072436 ONSTR_1759467
BINARY is ONSTR_0193925 Class
BINARY is ONSTR_0218431 Class
BINARY SubClassOf ONSTR_0218431 ONSTR_4213927
BINARY is ONSTR_0342141 Class
BINARY equiv ONSTR_0342141 ONSTR_1363067_and_(IAO_0000136_some
BINARY equiv ONSTR_0342141 (CHEBI_26677_and_(BFO_0000087_some_OBI_0000204)))
BINARY SubClassOf ONSTR_0342141 ONSTR_1363067
BINARY is ONSTR_0367319 Class
BINARY equiv ONSTR_0367319 ONSTR_1363067_and_(IAO_0000136_some
BINARY equiv ONSTR_0367319 (CHEBI_22632_and_(BFO_0000087_some_OBI_0000204)))
BINARY SubClassOf ONSTR_0367319 ONSTR_1363067
BINARY is ONSTR_0442823 Class
BINARY equiv ONSTR_0442823 ONSTR_1363067_and_(IAO_0000136_some
BINARY equiv ONSTR_0442823 (CHEBI_27275_and_(BFO_0000087_some_OBI_0000204)))
BINARY SubClassOf ONSTR_0442823 ONSTR_1363067
BINARY is ONSTR_0679347 Class
BINARY SubClassOf ONSTR_0679347 ONSTR_6464019
BINARY is ONSTR_0793963 Class
BINARY SubClassOf ONSTR_0793963 ONSTR_4999812
BINARY is ONSTR_0923831 Class
BINARY equiv ONSTR_0923831 ONSTR_1363067_and_(IAO_0000136_some
BINARY equiv ONSTR_0923831 (CHEBI_25370_and_(BFO_0000087_some_OBI_0000204)))
BINARY SubClassOf ONSTR_0923831 ONSTR_1363067
BINARY is ONSTR_0937984 Class
BINARY SubClassOf ONSTR_0937984 ONSTR_1838254
BINARY is ONSTR_0966715 Class
BINARY SubClassOf ONSTR_0966715 ONSTR_4999812
BINARY is ONSTR_1012174 Class
BINARY SubClassOf ONSTR_1012174 ONSTR_5178796
BINARY is ONSTR_1013653 Class
BINARY SubClassOf ONSTR_1013653 ONSTR_4721332
BINARY is ONSTR_1034362 Class
BINARY SubClassOf ONSTR_1034362 ONSTR_1583962
BINARY is ONSTR_1045375 Class
BINARY equiv ONSTR_1045375 ONSTR_1363067_and_(IAO_0000136_some
BINARY equiv ONSTR_1045375 (CHEBI_26835_and_(BFO_0000087_some_OBI_0000204)))
BINARY SubClassOf ONSTR_1045375 ONSTR_1363067
BINARY is ONSTR_1078667 Class
