BINARY is string Datatype
BINARY is SOPHARM_08101 ObjectProperty
BINARY Domain SOPHARM_08101 SOPHARM_00120
BINARY Range SOPHARM_08101 SOPHARM_00100
BINARY InverseOf SOPHARM_08101 SOPHARM_08100
BINARY is SOPHARM_08200 ObjectProperty
BINARY Domain SOPHARM_08200 SOPHARM_00100
BINARY Range SOPHARM_08200 SOPHARM_60000
BINARY InverseOf SOPHARM_08200 SOPHARM_08201
BINARY is SOPHARM_08201 ObjectProperty
BINARY Domain SOPHARM_08201 SOPHARM_60000
BINARY Range SOPHARM_08201 SOPHARM_00100
BINARY InverseOf SOPHARM_08201 SOPHARM_08200
BINARY is SOPHARM_00102 DataProperty
BINARY Characteristics SOPHARM_00102 Functional
BINARY Domain SOPHARM_00102 SOPHARM_00120
BINARY Range SOPHARM_00102 string
BINARY is SOPHARM_01102 DataProperty
BINARY Characteristics SOPHARM_01102 Functional
BINARY Domain SOPHARM_01102 SOPHARM_10000
BINARY Range SOPHARM_01102 string
BINARY is SOPHARM_02001 DataProperty
BINARY Characteristics SOPHARM_02001 Functional
BINARY Domain SOPHARM_02001 SOPHARM_20000
BINARY Range SOPHARM_02001 string
BINARY is SOPHARM_02002 DataProperty
BINARY Domain SOPHARM_02002 SOPHARM_20000
BINARY Range SOPHARM_02002 string
BINARY is SOPHARM_02102 DataProperty
BINARY Domain SOPHARM_02102 SOPHARM_21000
BINARY Range SOPHARM_02102 string
BINARY is SOPHARM_02202 DataProperty
BINARY Characteristics SOPHARM_02202 Functional
BINARY Domain SOPHARM_02202 SOPHARM_22100
BINARY Range SOPHARM_02202 string
BINARY is SOPHARM_05102 DataProperty
BINARY Characteristics SOPHARM_05102 Functional
BINARY Domain SOPHARM_05102 SOPHARM_51000
BINARY Range SOPHARM_05102 string
BINARY is SOPHARM_05103 DataProperty
BINARY Characteristics SOPHARM_05103 Functional
BINARY Domain SOPHARM_05103 SOPHARM_51000
BINARY Range SOPHARM_05103 string
BINARY is SOPHARM_05201 DataProperty
BINARY Characteristics SOPHARM_05201 Functional
BINARY Domain SOPHARM_05201 SOPHARM_52000
BINARY Range SOPHARM_05201 string
BINARY is SOPHARM_06001 DataProperty
BINARY Domain SOPHARM_06001 SOPHARM_60000
BINARY Range SOPHARM_06001 string
BINARY is SOPHARM_06002 DataProperty
BINARY Domain SOPHARM_06002 SOPHARM_60000
BINARY Range SOPHARM_06002 string
BINARY is SOPHARM_06102 DataProperty
BINARY Characteristics SOPHARM_06102 Functional
BINARY Domain SOPHARM_06102 SOPHARM_61000
BINARY Range SOPHARM_06102 string
BINARY is OBI_12 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_126 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_144 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_181 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_184 Class
BINARY is genotyping_methods www.loria.fr/~coulet/ontology/sopharm/version2.1/pharmacogeneticsontology.#
BINARY is OBI_264 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_272 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_336 Class
BINARY SubClassOf OBI_336 SOPHARM_24000
BINARY is OBI_338 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_343 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is OBI_70 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is purl.org/obo//MP# Class
BINARY SubClassOf purl.org/obo//MP# SOPHARM_15000
BINARY is purl.org/obo//SO# Class
BINARY SubClassOf purl.org/obo//SO# SOPHARM_14100
BINARY is Object Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is Quality Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is RealizableEntity Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is Process Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is ProcessAggregate Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/meo/version1.0/meo.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/meo/version1.0/meo.# SOPHARM_30000
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/pato/version1.33/quality.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# SOPHARM_52000
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# OBI_126
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.# SOPHARM_24000
BINARY is CHEBI_27189 www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.#
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.# SOPHARM_20000
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.# SOPHARM_24000
BINARY is CHEBI_23367 www.loria.fr/~coulet/ontology/sopharm/version2.1/chebi.#
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/disease_ontology.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/disease_ontology.# SOPHARM_23320
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/disease_ontology.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/disease_ontology.# SOPHARM_15100
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/pharmacogeneticsontology.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/pharmacogeneticsontology.# SOPHARM_62110
BINARY is www.loria.fr/~coulet/ontology/sopharm/version2.1/pharmacogeneticsontology.# Class
BINARY SubClassOf www.loria.fr/~coulet/ontology/sopharm/version2.1/pharmacogeneticsontology.# SOPHARM_62120
BINARY is www.loria.fr/~coulet/ontology/unit/version1.9/unit.# Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is SOPHARM_00100 Class
BINARY is Thing)_and_(SOPHARM_07002_min_1_www.w3.org/2002/07/# (SOPHARM_07001_min_1_www.w3.org/2002/07/#
BINARY SubClassOf Thing)_and_(SOPHARM_07002_min_1_www.w3.org/2002/07/# OBI_12,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_08100_some_SOPHARM_00120,
BINARY is Thing, SOPHARM_08200_some_SOPHARM_60000
BINARY is SOPHARM_00120 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is SOPHARM_10000 Class
BINARY is Thing) (SOPHARM_01100_only_SOPHARM_61000)_and_(SOPHARM_05101_only_SOPHARM_50000)_and_(SOPHARM_06311_only_SOPHARM_62100)_and_(SOPHARM_06311_max_1_www.w3.org/2002/07/#
BINARY is Thing www.w3.org/2002/07/#
BINARY is SOPHARM_11000 Class
BINARY SubClassOf SOPHARM_11000 SOPHARM_10000
BINARY is SOPHARM_11100 Class
BINARY SubClassOf SOPHARM_11100 SOPHARM_11000,
BINARY SubClassOf SOPHARM_11100 SOPHARM_00001_some_SOPHARM_23000
BINARY is SOPHARM_11200 Class
BINARY SubClassOf SOPHARM_11200 SOPHARM_11000,
BINARY SubClassOf SOPHARM_11200 SOPHARM_00001_some_SOPHARM_23200
BINARY is SOPHARM_11300 Class
BINARY SubClassOf SOPHARM_11300 SOPHARM_11000
BINARY is SOPHARM_11400 Class
BINARY SubClassOf SOPHARM_11400 SOPHARM_11000
BINARY is SOPHARM_12000 Class
BINARY SubClassOf SOPHARM_12000 SOPHARM_10000,
BINARY SubClassOf SOPHARM_12000 SOPHARM_01201_only
BINARY is hasChild_some_SOPHARM_50000)_or_(www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.# ((www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.#
BINARY is hasChild_some_SOPHARM_50000)_or_(www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.# SOPHARM_01301_only_SOPHARM_10000
BINARY is SOPHARM_12100 Class
BINARY SubClassOf SOPHARM_12100 SOPHARM_12000
BINARY is SOPHARM_12200 Class
BINARY SubClassOf SOPHARM_12200 SOPHARM_12000
BINARY is SOPHARM_13000 Class
BINARY SubClassOf SOPHARM_13000 SOPHARM_10000
BINARY is SOPHARM_14000 Class
BINARY SubClassOf SOPHARM_14000 SOPHARM_10000,
BINARY SubClassOf SOPHARM_14000 SOPHARM_06311_only_SOPHARM_62110
BINARY is SOPHARM_14100 Class
BINARY SubClassOf SOPHARM_14100 SOPHARM_14000
BINARY is SOPHARM_14200 Class
BINARY SubClassOf SOPHARM_14200 SOPHARM_14000,
BINARY SubClassOf SOPHARM_14200 (SOPHARM_04101_only_SOPHARM_30000),
BINARY SubClassOf SOPHARM_14200 SOPHARM_00001_some_SOPHARM_31000,
BINARY SubClassOf SOPHARM_14200 SOPHARM_00001_only_SOPHARM_31000
BINARY is SOPHARM_14210 Class
BINARY SubClassOf SOPHARM_14210 SOPHARM_14200
BINARY is SOPHARM_14220 Class
BINARY SubClassOf SOPHARM_14220 SOPHARM_14200
BINARY is SOPHARM_15000 Class
BINARY SubClassOf SOPHARM_15000 SOPHARM_10000,
