BINARY is integer Datatype
BINARY is hasPhenomena ObjectProperty
BINARY is hasRealm ObjectProperty
BINARY is hasRole ObjectProperty
BINARY is hasState ObjectProperty
BINARY is atomicMass ObjectProperty
BINARY Domain atomicMass ChemicalSubstance
BINARY is hasChemical ObjectProperty
BINARY is hasChemical_1 ObjectProperty
BINARY is hasChemical_2 ObjectProperty
BINARY is hasSubstance ObjectProperty
BINARY is hasGenesis ObjectProperty
BINARY is hasSource ObjectProperty
BINARY is componentOf ObjectProperty
BINARY is spawn ObjectProperty
BINARY Domain spawn Species
BINARY is below ObjectProperty
BINARY is diameter ObjectProperty
BINARY is hasSpatialScale ObjectProperty
BINARY is hasAtoms DataProperty
BINARY Domain hasAtoms Chemical
BINARY Range hasAtoms integer
BINARY is hasBaseNeutrons DataProperty
BINARY Domain hasBaseNeutrons Chemical
BINARY Range hasBaseNeutrons integer
BINARY is hasNeutrons DataProperty
BINARY Domain hasNeutrons Chemical
BINARY Range hasNeutrons integer
BINARY is hasTrophicLevel DataProperty
BINARY Domain hasTrophicLevel Species
BINARY is Technology Class
BINARY SubClassOf Technology Infrastructure
BINARY is Air Class
BINARY SubClassOf Air MixedChemicalSubstance,
BINARY SubClassOf Air Mixture
BINARY is BDOC Class
BINARY equiv BDOC BiodegradableDissolvedOrganicCarbon
BINARY SubClassOf BDOC DOC,
BINARY SubClassOf BDOC DissolvedOrganicCarbon
BINARY is BiodegradableDissolvedOrganicCarbon Class
BINARY equiv BiodegradableDissolvedOrganicCarbon BDOC
BINARY SubClassOf BiodegradableDissolvedOrganicCarbon DOC,
BINARY SubClassOf BiodegradableDissolvedOrganicCarbon DissolvedOrganicCarbon
BINARY is Chemical Class
BINARY equiv Chemical ChemicalSubstance
BINARY SubClassOf Chemical Substance
BINARY is ChemicalSubstance Class
BINARY equiv ChemicalSubstance Chemical
BINARY SubClassOf ChemicalSubstance Substance
BINARY is DO Class
BINARY equiv DO DissolvedOxygen
BINARY SubClassOf DO DissolvedSubstance
BINARY is DOC Class
BINARY equiv DOC DissolvedOrganicCarbon
BINARY SubClassOf DOC DissolvedSubstance
BINARY is DissolvedGas Class
BINARY SubClassOf DissolvedGas DissolvedSubstance,
BINARY SubClassOf DissolvedGas hasState_value_Gas
BINARY is DissolvedOrganicCarbon Class
BINARY equiv DissolvedOrganicCarbon DOC
BINARY SubClassOf DissolvedOrganicCarbon DissolvedSubstance
BINARY is DissolvedOxygen Class
BINARY equiv DissolvedOxygen DO
BINARY SubClassOf DissolvedOxygen DissolvedSubstance
BINARY is DissolvedSolid Class
BINARY SubClassOf DissolvedSolid DissolvedSubstance,
BINARY SubClassOf DissolvedSolid SolidSubstance
BINARY is DissolvedSubstance Class
BINARY SubClassOf DissolvedSubstance Substance,
BINARY SubClassOf DissolvedSubstance hasState_value_Dissolved
BINARY is GreenhouseGas Class
BINARY SubClassOf GreenhouseGas Chemical,
BINARY SubClassOf GreenhouseGas ChemicalSubstance,
BINARY SubClassOf GreenhouseGas hasState_value_Gas
BINARY is Inorganic Class
BINARY equiv Inorganic InorganicSubstance
BINARY SubClassOf Inorganic Chemical,
BINARY SubClassOf Inorganic ChemicalSubstance
BINARY is InorganicSubstance Class
BINARY equiv InorganicSubstance Inorganic
BINARY SubClassOf InorganicSubstance Chemical,
BINARY SubClassOf InorganicSubstance ChemicalSubstance
BINARY DisjointWith InorganicSubstance OrganicSubstance
BINARY is Medium Class
BINARY SubClassOf Medium Substance
BINARY is MixedChemicalSubstance Class
BINARY equiv MixedChemicalSubstance Mixture
BINARY SubClassOf MixedChemicalSubstance Chemical,
BINARY SubClassOf MixedChemicalSubstance ChemicalSubstance
BINARY is Mixture Class
BINARY equiv Mixture MixedChemicalSubstance
BINARY SubClassOf Mixture Chemical,
BINARY SubClassOf Mixture ChemicalSubstance
BINARY is NeutralGas Class
BINARY SubClassOf NeutralGas Chemical,
BINARY SubClassOf NeutralGas ChemicalSubstance,
BINARY SubClassOf NeutralGas hasState_value_Gas,
BINARY SubClassOf NeutralGas hasState_value_Neutral
BINARY is OrganicLoading Class
BINARY SubClassOf OrganicLoading DissolvedSubstance
BINARY is SolidSubstance Class
BINARY SubClassOf SolidSubstance Substance
BINARY is Solution Class
BINARY SubClassOf Solution MixedChemicalSubstance,
BINARY SubClassOf Solution Mixture
BINARY is Substance Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is SuspendedGas Class
BINARY SubClassOf SuspendedGas SuspendedSubstance,
BINARY SubClassOf SuspendedGas hasState_value_Gas
BINARY is SuspendedSolid Class
BINARY SubClassOf SuspendedSolid SolidSubstance,
BINARY SubClassOf SuspendedSolid SuspendedSubstance
BINARY is SuspendedSubstance Class
BINARY SubClassOf SuspendedSubstance Substance,
BINARY SubClassOf SuspendedSubstance hasState_value_Suspended
BINARY is TraceGas Class
BINARY SubClassOf TraceGas TraceSubstance,
BINARY SubClassOf TraceGas hasState_value_Gas
BINARY is TraceSubstance Class
BINARY SubClassOf TraceSubstance Substance,
BINARY SubClassOf TraceSubstance hasRole_value_Trace
BINARY is Aerosol Class
BINARY SubClassOf Aerosol SuspendedSubstance
BINARY is Ash Class
BINARY SubClassOf Ash SolidSubstance
BINARY is BlackCarbon Class
BINARY equiv BlackCarbon Soot
BINARY SubClassOf BlackCarbon Particulate
BINARY is CCN Class
BINARY equiv CCN CloudCondensationNuclei
BINARY SubClassOf CCN CondensationNuclei
BINARY is CloudCondensationNuclei Class
BINARY equiv CloudCondensationNuclei CCN
BINARY SubClassOf CloudCondensationNuclei CondensationNuclei
BINARY is CondensationNuclei Class
BINARY SubClassOf CondensationNuclei SolidSubstance,
BINARY SubClassOf CondensationNuclei hasRole_only_Coalescence
BINARY is ContinentalAerosol Class
BINARY SubClassOf ContinentalAerosol Aerosol,
BINARY SubClassOf ContinentalAerosol hasRealm_only_Land
BINARY is Dust Class
