BINARY is dateTime Datatype
BINARY is SEPIO_0000133 Class
BINARY SubClassOf SEPIO_0000133 IAO_0000109,
BINARY SubClassOf SEPIO_0000133 IAO_0000136_some_SEPIO_0000002
BINARY is SEPIO_0000149 Class
BINARY SubClassOf SEPIO_0000149 IAO_0000030
BINARY is SEPIO_0000153 Class
BINARY SubClassOf SEPIO_0000153 SEPIO_0000048
BINARY is SEPIO_0000154 Class
BINARY SubClassOf SEPIO_0000154 SEPIO_0000048
BINARY is SEPIO_0000155 Class
BINARY SubClassOf SEPIO_0000155 SEPIO_0000154
BINARY is SEPIO_0000156 Class
BINARY SubClassOf SEPIO_0000156 SEPIO_0000048
BINARY is SEPIO_0000174 Class
BINARY SubClassOf SEPIO_0000174 IAO_0000030
BINARY is SEPIO_0000180 Class
BINARY SubClassOf SEPIO_0000180 ObsoleteClass
BINARY is SEPIO_0000186 Class
BINARY SubClassOf SEPIO_0000186 SEPIO_0000070
BINARY is SEPIO_0000187 Class
BINARY SubClassOf SEPIO_0000187 IAO_0000109,
BINARY SubClassOf SEPIO_0000187 IAO_0000136_some_IAO_0000030
BINARY is SEPIO_0000258 Class
BINARY SubClassOf SEPIO_0000258 SEPIO_0000070
BINARY is SEPIO_0000340 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is SEPIO_0000402 Class
BINARY equiv SEPIO_0000402 {SEPIO_0000403_,_SEPIO_0000404_,_SEPIO_0000405}
BINARY SubClassOf SEPIO_0000402 IAO_0000109
BINARY is SEPIO_0000414 Class
BINARY SubClassOf SEPIO_0000414 IAO_0000109
BINARY is STATO_0000039 Class
BINARY is STATO_0000104 Class
BINARY SubClassOf STATO_0000104 STATO_0000039
BINARY is ObsoleteClass Class
BINARY is www.w3.org/2002/07/# Class
BINARY is Agent Class
BINARY is Organization Class
BINARY is Group ns.com/foaf/0.1/
BINARY is Person Class
BINARY SubClassOf Person Agent
BINARY is ns.com/foaf/0.1/ Class
BINARY is IAO_0000002 Individual
BINARY Types IAO_0000002 IAO_0000078
BINARY is IAO_0000103 Individual
BINARY Types IAO_0000103 IAO_0000225
BINARY is IAO_0000120 Individual
BINARY Types IAO_0000120 IAO_0000078
BINARY is IAO_0000121 Individual
BINARY Types IAO_0000121 IAO_0000078
BINARY is IAO_0000122 Individual
BINARY Types IAO_0000122 IAO_0000078
BINARY is IAO_0000123 Individual
BINARY Types IAO_0000123 IAO_0000078
BINARY is IAO_0000124 Individual
BINARY Types IAO_0000124 IAO_0000078
BINARY is IAO_0000125 Individual
BINARY Types IAO_0000125 IAO_0000078
BINARY is IAO_0000226 Individual
BINARY Types IAO_0000226 IAO_0000225
BINARY is IAO_0000227 Individual
BINARY Types IAO_0000227 IAO_0000225
BINARY is IAO_0000228 Individual
BINARY Types IAO_0000228 IAO_0000225
BINARY is IAO_0000229 Individual
BINARY Types IAO_0000229 IAO_0000225
