BINARY is encodes ObjectProperty
BINARY SubClassOf H2_Class_Ib_Allele H2_Class_I_Allele,
BINARY SubClassOf H2_Class_Ib_Allele MHC_Class_Ib_Allele
BINARY is H2_M_Allele Class
BINARY SubClassOf H2_M_Allele H2_Class_Ib_Allele
BINARY is H2_Q_Allele Class
BINARY SubClassOf H2_Q_Allele H2_Class_Ib_Allele
BINARY is H2_T_Allele Class
BINARY SubClassOf H2_T_Allele H2_Class_Ib_Allele
BINARY is HLA_A_Molecule Class
BINARY DisjointWith HLA_A_Molecule HLA_C_Molecule
BINARY is HLA_B_Molecule Class
BINARY DisjointWith HLA_B_Molecule HLA_C_Molecule
BINARY is HLA_C_Molecule Class
BINARY SubClassOf HLA_C_Molecule HLA_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_L_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_K_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_J_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_H_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_G_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_F_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_E_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_DR_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_DQ_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_DP_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_DO_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_DM_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_B_Molecule
BINARY DisjointWith HLA_C_Molecule HLA_A_Molecule
BINARY is HLA_DM_Molecule Class
BINARY DisjointWith HLA_DM_Molecule HLA_C_Molecule
BINARY is HLA_DO_Molecule Class
BINARY DisjointWith HLA_DO_Molecule HLA_C_Molecule
BINARY is HLA_DP_Molecule Class
BINARY DisjointWith HLA_DP_Molecule HLA_C_Molecule
BINARY is HLA_DQ_Molecule Class
BINARY DisjointWith HLA_DQ_Molecule HLA_C_Molecule
BINARY is HLA_DR_Molecule Class
BINARY DisjointWith HLA_DR_Molecule HLA_C_Molecule
BINARY is HLA_E_Molecule Class
BINARY DisjointWith HLA_E_Molecule HLA_C_Molecule
BINARY is HLA_F_Molecule Class
BINARY DisjointWith HLA_F_Molecule HLA_C_Molecule
BINARY is HLA_G_Molecule Class
BINARY DisjointWith HLA_G_Molecule HLA_C_Molecule
BINARY is HLA_H_Molecule Class
BINARY DisjointWith HLA_H_Molecule HLA_C_Molecule
BINARY is HLA_J_Molecule Class
BINARY DisjointWith HLA_J_Molecule HLA_C_Molecule
BINARY is HLA_K_Molecule Class
BINARY DisjointWith HLA_K_Molecule HLA_C_Molecule
BINARY is HLA_L_Molecule Class
BINARY DisjointWith HLA_L_Molecule HLA_C_Molecule
BINARY is HLA_Molecule Class
BINARY is MHC_Class_I_Allele Class
BINARY is MHC_Class_Ib_Allele Class
BINARY is www.w3.org/2002/07/# Class
