BINARY is integer Datatype
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY Characteristics www.semanticweb.org/ontologies/2010/10/BPO.# Functional
BINARY is treatment www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is last_event www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY Characteristics www.semanticweb.org/ontologies/2010/10/BPO.# Functional
BINARY is treatment www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is current_status, www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is currently_using_medication www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# ObjectProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# DataProperty
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is antifibrinolytic www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is tranexamic_acid www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is high_resolution_gel www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is high_resolution_gel www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is ripa_qualitative_interpretation www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is hyperactive,_www.semanticweb.org/ontologies/2010/10/BPO.# www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is childhood,_www.semanticweb.org/ontologies/2010/10/BPO.# www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is race www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is caucasian www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is demographic_characteristics www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is ethnicity,_www.semanticweb.org/ontologies/2010/10/BPO.# www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is treatment www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is ancillary_medication www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is chemotherapy,_www.semanticweb.org/ontologies/2010/10/BPO.# www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is treatment www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is race www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is caucasian www.semanticweb.org/ontologies/2010/10/BPO.#
BINARY is www.semanticweb.org/ontologies/2010/10/BPO.# Class
BINARY is relative, www.semanticweb.org/ontologies/2010/10/BPO.#
