BINARY SubClassOf NCBITaxon_130404 NCBITaxon_13215
BINARY is NCBITaxon_13100 Class
BINARY SubClassOf NCBITaxon_13100 NCBITaxon_33090
BINARY is NCBITaxon_13215 Class
BINARY SubClassOf NCBITaxon_13215 NCBITaxon_33090
BINARY is NCBITaxon_13216 Class
BINARY SubClassOf NCBITaxon_13216 NCBITaxon_13215
BINARY is NCBITaxon_132473 Class
BINARY SubClassOf NCBITaxon_132473 NCBITaxon_201174
BINARY is NCBITaxon_13273 Class
BINARY SubClassOf NCBITaxon_13273 NCBITaxon_33090
BINARY is NCBITaxon_13274 Class
BINARY SubClassOf NCBITaxon_13274 NCBITaxon_13273
BINARY is NCBITaxon_13329 Class
BINARY SubClassOf NCBITaxon_13329 NCBITaxon_33090
BINARY is NCBITaxon_13363 Class
BINARY SubClassOf NCBITaxon_13363 NCBITaxon_33090
BINARY is NCBITaxon_13385 Class
BINARY SubClassOf NCBITaxon_13385 NCBITaxon_33090
BINARY is NCBITaxon_13422 Class
BINARY SubClassOf NCBITaxon_13422 NCBITaxon_33090
BINARY is NCBITaxon_13427 Class
BINARY SubClassOf NCBITaxon_13427 NCBITaxon_33090
BINARY is NCBITaxon_13428 Class
BINARY SubClassOf NCBITaxon_13428 NCBITaxon_33090
BINARY is NCBITaxon_13516 Class
BINARY SubClassOf NCBITaxon_13516 NCBITaxon_33090
BINARY is NCBITaxon_135200 Class
BINARY SubClassOf NCBITaxon_135200 NCBITaxon_33090
BINARY is NCBITaxon_13569 Class
BINARY SubClassOf NCBITaxon_13569 NCBITaxon_33090
BINARY is NCBITaxon_13579 Class
BINARY SubClassOf NCBITaxon_13579 NCBITaxon_33090
BINARY is NCBITaxon_136217 Class
BINARY SubClassOf NCBITaxon_136217 NCBITaxon_99568
BINARY is NCBITaxon_136218 Class
BINARY SubClassOf NCBITaxon_136218 NCBITaxon_99568
BINARY is NCBITaxon_136221 Class
BINARY SubClassOf NCBITaxon_136221 NCBITaxon_99568
BINARY is NCBITaxon_13625 Class
BINARY SubClassOf NCBITaxon_13625 NCBITaxon_33090
BINARY is NCBITaxon_136616 Class
BINARY SubClassOf NCBITaxon_136616 NCBITaxon_33090
BINARY is NCBITaxon_137221 Class
BINARY SubClassOf NCBITaxon_137221 NCBITaxon_3620
BINARY is NCBITaxon_13735 Class
BINARY SubClassOf NCBITaxon_13735 NCBITaxon_8459
BINARY is NCBITaxon_137457 Class
BINARY SubClassOf NCBITaxon_137457 NCBITaxon_33090
BINARY is NCBITaxon_13749 Class
BINARY SubClassOf NCBITaxon_13749 NCBITaxon_33090
BINARY is NCBITaxon_13757 Class
BINARY SubClassOf NCBITaxon_13757 NCBITaxon_33090
BINARY is NCBITaxon_137693 Class
BINARY SubClassOf NCBITaxon_137693 NCBITaxon_46786
BINARY is NCBITaxon_13817 Class
BINARY SubClassOf NCBITaxon_13817 NCBITaxon_33090
BINARY is NCBITaxon_13824 Class
BINARY SubClassOf NCBITaxon_13824 NCBITaxon_33090
BINARY is NCBITaxon_1386 Class
BINARY SubClassOf NCBITaxon_1386 NCBITaxon_1239
BINARY is NCBITaxon_13894 Class
BINARY SubClassOf NCBITaxon_13894 NCBITaxon_33090
BINARY is NCBITaxon_140311 Class
BINARY SubClassOf NCBITaxon_140311 NCBITaxon_3754
BINARY is NCBITaxon_140997 Class
BINARY SubClassOf NCBITaxon_140997 NCBITaxon_23159
BINARY is NCBITaxon_141191 Class
BINARY SubClassOf NCBITaxon_141191 NCBITaxon_33090
BINARY is NCBITaxon_141466 Class
BINARY SubClassOf NCBITaxon_141466 NCBITaxon_33090
BINARY is NCBITaxon_143883 Class
BINARY SubClassOf NCBITaxon_143883 NCBITaxon_33090
BINARY is NCBITaxon_145745 Class
BINARY SubClassOf NCBITaxon_145745 NCBITaxon_33090
BINARY is NCBITaxon_145754 Class
BINARY SubClassOf NCBITaxon_145754 NCBITaxon_96479
BINARY is NCBITaxon_146995 Class
BINARY SubClassOf NCBITaxon_146995 NCBITaxon_13422
BINARY is NCBITaxon_151069 Class
BINARY SubClassOf NCBITaxon_151069 NCBITaxon_33090
BINARY is NCBITaxon_152286 Class
BINARY SubClassOf NCBITaxon_152286 NCBITaxon_33090
BINARY is NCBITaxon_152363 Class
BINARY SubClassOf NCBITaxon_152363 NCBITaxon_33090
BINARY is NCBITaxon_153459 Class
